basis,ansatz,variant,n_qubits,depth,seeds_expected,seeds_present,rho_A_lite_seeds_identifiable,rho_A_lite_seeds_estimable,rho_A_lite_fraction_expected,rho_A_lite_cell_estimable,rho_A_lite_vif_median,rho_A_lite_vif_p90,rho_A_lite_kappa_median,rho_nu_lite_seeds_identifiable,rho_nu_lite_seeds_estimable,rho_nu_lite_fraction_expected,rho_nu_lite_cell_estimable,rho_nu_lite_vif_median,rho_nu_lite_vif_p90,rho_nu_lite_kappa_median,route_required_stats,seeds_route_estimable,estimable_fraction_expected,estimable_fraction_present,cell_estimable,structural_notes
lite,hva,lso_pcgrad,6,4,30,30,30,11,0.36666666666666664,False,18.03624584645125,135.57857906770397,8.41524032535062,30,11,0.36666666666666664,False,18.036245846451273,135.57857906770397,8.415240325350618,rho_A_lite;rho_nu_lite,11,0.36666666666666664,0.36666666666666664,False,
lite,hva,lso_pcgrad,6,6,30,30,30,12,0.4,False,14.199230179991018,749.172319068198,7.586509358146926,30,12,0.4,False,14.199230179991018,749.172319068198,7.58650935814692,rho_A_lite;rho_nu_lite,12,0.4,0.4,False,
lite,hva,lso_pcgrad,6,8,30,30,30,6,0.2,False,70.39680329951331,4330.782727089692,18.09033863214566,30,6,0.2,False,70.39680329951331,4330.782727089692,18.090338632145674,rho_A_lite;rho_nu_lite,6,0.2,0.2,False,
lite,hva,lso_pcgrad,8,4,30,30,30,10,0.3333333333333333,False,27.833303344588167,370.04715340741893,10.883363367419488,30,10,0.3333333333333333,False,27.833303344588167,370.04715340741893,10.883363367419484,rho_A_lite;rho_nu_lite,10,0.3333333333333333,0.3333333333333333,False,
lite,hva,lso_pcgrad,8,6,30,30,30,12,0.4,False,27.22931154188776,638.0839180707005,10.958795550322213,30,12,0.4,False,27.22931154188776,638.0839180707005,10.958795550322215,rho_A_lite;rho_nu_lite,12,0.4,0.4,False,
lite,hva,lso_pcgrad,8,8,30,30,30,11,0.36666666666666664,False,23.835416174152424,1239.0617992710502,10.424714664511303,30,11,0.36666666666666664,False,23.835416174152424,1239.0617992710502,10.4247146645113,rho_A_lite;rho_nu_lite,11,0.36666666666666664,0.36666666666666664,False,
lite,hva,lso_pcgrad,10,4,30,30,30,16,0.5333333333333333,False,8.978759842274044,317.4917232096116,5.970099970611988,30,16,0.5333333333333333,False,8.978759842274044,317.4917232096116,5.970099970611985,rho_A_lite;rho_nu_lite,16,0.5333333333333333,0.5333333333333333,False,
lite,hva,lso_pcgrad,10,6,30,30,30,11,0.36666666666666664,False,17.33234390146742,1590.5755528654558,8.620451536108668,30,11,0.36666666666666664,False,17.33234390146742,1590.5755528654558,8.620451536108671,rho_A_lite;rho_nu_lite,11,0.36666666666666664,0.36666666666666664,False,
lite,hva,lso_pcgrad,10,8,30,30,29,5,0.16666666666666666,False,319.41823549764814,3104.734901646734,37.82155894072566,30,6,0.2,False,281.22330629936846,3091.84685422524,37.39127925333578,rho_A_lite;rho_nu_lite,5,0.16666666666666666,0.16666666666666666,False,rho_A_lite:A==G(target_control_duplicate) x1; rho_nu_lite:A==G(control_duplicate) x1
lite,hva,pcgrad,4,4,30,30,30,30,1.0,True,2.0881307995683502,3.475527525148697,2.5034980948996766,30,30,1.0,True,2.0881307995683502,3.4755275251486983,2.503498094899677,rho_A_lite;rho_nu_lite,30,1.0,1.0,True,
